time,time_formatted,without_robot_output,with_robot_output,azimuth,zenith
1540011600,"10/20/2018, 00:00:00",0,0,0,0
1540015200,"10/20/2018, 01:00:00",0,0,0,0
1540018800,"10/20/2018, 02:00:00",0,0,0,0
1540022400,"10/20/2018, 03:00:00",0,0,0,0
1540026000,"10/20/2018, 04:00:00",0,0,0,0
1540029600,"10/20/2018, 05:00:00",0,0,0,0
1540033200,"10/20/2018, 06:00:00",3.7,2.7,72.56,87.69
1540036800,"10/20/2018, 07:00:00",23.9,28.2,80.77,75.62
1540040400,"10/20/2018, 08:00:00",60.35,74.1,89.07,63.23
1540044000,"10/20/2018, 09:00:00",110.7,138.8,98.44,50.82
1540047600,"10/20/2018, 10:00:00",146.3,183.2,110.68,38.82
1540051200,"10/20/2018, 11:00:00",150.25,179.5,129.61,28.19
1540054800,"10/20/2018, 12:00:00",146,169.4,161.81,21.5
1540058400,"10/20/2018, 13:00:00",132.05,154.6,201.93,22.81
1540062000,"10/20/2018, 14:00:00",111.25,124.7,229.71,31.22
1540065600,"10/20/2018, 15:00:00",77.75,81.5,245.91,42.75
1540069200,"10/20/2018, 16:00:00",30.2,31.2,256.65,55.47
1540072800,"10/20/2018, 17:00:00",2.9,3,264.99,68.67
1540076400,"10/20/2018, 18:00:00",0,0,0,0
1540080000,"10/20/2018, 19:00:00",0,0,0,0
1540083600,"10/20/2018, 20:00:00",0,0,0,0
1540087200,"10/20/2018, 21:00:00",0,0,0,0
1540090800,"10/20/2018, 22:00:00",0,0,0,0
1540094400,"10/20/2018, 23:00:00",0,0,0,0
1540098000,"10/21/2018, 00:00:00",0,0,0,0
1540101600,"10/21/2018, 01:00:00",0,0,0,0
1540105200,"10/21/2018, 02:00:00",0,0,0,0
1540108800,"10/21/2018, 03:00:00",0,0,0,0
1540112400,"10/21/2018, 04:00:00",0,0,0,0
1540116000,"10/21/2018, 05:00:00",0,0,0,0
1540119600,"10/21/2018, 06:00:00",3.95,3.6,72.82,87.82
1540123200,"10/21/2018, 07:00:00",22.55,26.2,81.06,75.73
1540126800,"10/21/2018, 08:00:00",61.8,78.7,89.39,63.34
1540130400,"10/21/2018, 09:00:00",112.2,149.5,98.83,50.93
1540134000,"10/21/2018, 10:00:00",142.5,186.1,111.15,38.96
1540137600,"10/21/2018, 11:00:00",150,171.3,130.18,28.4
1540141200,"10/21/2018, 12:00:00",144.6,140.3,162.23,21.81
1540144800,"10/21/2018, 13:00:00",127.9,124.6,201.81,23.16
1540148400,"10/21/2018, 14:00:00",113.9,120.1,229.38,31.53
1540152000,"10/21/2018, 15:00:00",79.9,82.8,245.57,43.03
1540155600,"10/21/2018, 16:00:00",28.7,29.2,256.34,55.74
1540159200,"10/21/2018, 17:00:00",2.75,3.7,264.7,68.94
1540162800,"10/21/2018, 18:00:00",0,0,0,0
1540166400,"10/21/2018, 19:00:00",0,0,0,0
1540170000,"10/21/2018, 20:00:00",0,0,0,0
1540173600,"10/21/2018, 21:00:00",0,0,0,0
1540177200,"10/21/2018, 22:00:00",0,0,0,0
1540180800,"10/21/2018, 23:00:00",0,0,0,0
1540616400,"10/27/2018, 00:00:00",0,0,0,0
1540620000,"10/27/2018, 01:00:00",0,0,0,0
1540623600,"10/27/2018, 02:00:00",0,0,0,0
1540627200,"10/27/2018, 03:00:00",0,0,0,0
1540630800,"10/27/2018, 04:00:00",0,0,0,0
1540634400,"10/27/2018, 05:00:00",0,0,0,0
1540638000,"10/27/2018, 06:00:00",3.5,3.8,74.49,88.59
1540641600,"10/27/2018, 07:00:00",21.25,30.8,82.88,76.42
1540645200,"10/27/2018, 08:00:00",64.3,69.8,91.44,64
1540648800,"10/27/2018, 09:00:00",114.7,136.9,101.23,51.65
1540652400,"10/27/2018, 10:00:00",145.35,191.8,114.06,39.86
1540656000,"10/27/2018, 11:00:00",147.65,173.1,133.57,29.71
1540659600,"10/27/2018, 12:00:00",142.15,149.6,164.68,23.74
1540663200,"10/27/2018, 13:00:00",133.75,124.9,201.26,25.34
1540666800,"10/27/2018, 14:00:00",114,97.3,227.49,33.52
1540670400,"10/27/2018, 15:00:00",69.85,78,243.59,44.83
1540674000,"10/27/2018, 16:00:00",20.95,34.5,254.49,57.44
1540677600,"10/27/2018, 17:00:00",1.8,1.7,262.97,70.6
1540681200,"10/27/2018, 18:00:00",0,0,0,0
1540684800,"10/27/2018, 19:00:00",0,0,0,0
1540688400,"10/27/2018, 20:00:00",0,0,0,0
1540692000,"10/27/2018, 21:00:00",0,0,0,0
1540695600,"10/27/2018, 22:00:00",0,0,0,0
1540699200,"10/27/2018, 23:00:00",0,0,0,0
1540702800,"10/28/2018, 00:00:00",0,0,0,0
1540706400,"10/28/2018, 01:00:00",0,0,0,0
1540710000,"10/28/2018, 02:00:00",0,0,0,0
1540713600,"10/28/2018, 03:00:00",0,0,0,0
1540717200,"10/28/2018, 04:00:00",0,0,0,0
1540720800,"10/28/2018, 05:00:00",0,0,0,0
1540724400,"10/28/2018, 06:00:00",2,2.1,74.78,88.72
1540728000,"10/28/2018, 07:00:00",20.6,25.1,83.2,76.54
1540731600,"10/28/2018, 08:00:00",59.7,70,91.79,64.12
1540735200,"10/28/2018, 09:00:00",109.7,129.4,101.64,51.78
