time,time_formatted,time_hour,time_month,hourly_icon,hourly_precip_probability,hourly_temperature,hourly_cloud_cover,hourly_visibility,daily_icon,daily_precip_probability,daily_cloud_cover,daily_sunrise_hour,daily_sunset_hour,daily_visibility,daily_temp_low,daily_temp_low_hour,daily_temp_high,daily_temp_high_hour,with_robot_output,without_robot_output
1540011600,"10/20/2018, 00:00:00",0,10,6,0,58.97,1,7.252,partly-cloudy-day,0.05,0.53,7,18,9.147,56.32,7,18,16,0,0
1540015200,"10/20/2018, 01:00:00",1,10,6,0.05,58.94,0.98,5.536,partly-cloudy-day,0.05,0.53,7,18,9.147,56.32,7,18,16,0,0
1540018800,"10/20/2018, 02:00:00",2,10,6,0,58.95,0.98,5.211,partly-cloudy-day,0.05,0.53,7,18,9.147,56.32,7,18,16,0,0
1540022400,"10/20/2018, 03:00:00",3,10,6,0,59.1,0.98,5.557,partly-cloudy-day,0.05,0.53,7,18,9.147,56.32,7,18,16,0,0
1540026000,"10/20/2018, 04:00:00",4,10,6,0,59.1,1,8.713,partly-cloudy-day,0.05,0.53,7,18,9.147,56.32,7,18,16,0,0
1540029600,"10/20/2018, 05:00:00",5,10,6,0,58.87,0.96,8.77,partly-cloudy-day,0.05,0.53,7,18,9.147,56.32,7,18,16,0,0
1540033200,"10/20/2018, 06:00:00",6,10,6,0,58.85,0.88,9.905,partly-cloudy-day,0.05,0.53,7,18,9.147,56.32,7,18,16,2.7,3.7
1540036800,"10/20/2018, 07:00:00",7,10,19,0,57.63,0.53,8.931,partly-cloudy-day,0.05,0.53,7,18,9.147,56.32,7,18,16,28.2,23.9
1540040400,"10/20/2018, 08:00:00",8,10,9,0,56.82,0.27,9.635,partly-cloudy-day,0.05,0.53,7,18,9.147,56.32,7,18,16,74.1,60.35
1540044000,"10/20/2018, 09:00:00",9,10,17,0,58.16,0.77,9.635,partly-cloudy-day,0.05,0.53,7,18,9.147,56.32,7,18,16,138.8,110.7
1540047600,"10/20/2018, 10:00:00",10,10,6,0,58.83,0.96,9.997,partly-cloudy-day,0.05,0.53,7,18,9.147,56.32,7,18,16,183.2,146.3
1540051200,"10/20/2018, 11:00:00",11,10,6,0,59.46,0.97,9.997,partly-cloudy-day,0.05,0.53,7,18,9.147,56.32,7,18,16,179.5,150.25
1540054800,"10/20/2018, 12:00:00",12,10,17,0,61.81,0.82,9.997,partly-cloudy-day,0.05,0.53,7,18,9.147,56.32,7,18,16,169.4,146
1540058400,"10/20/2018, 13:00:00",13,10,17,0,66.46,0.38,9.997,partly-cloudy-day,0.05,0.53,7,18,9.147,56.32,7,18,16,154.6,132.05
